# [Fe/H], [Mg/Fe], feh_sig, mgfe_sig
-7.897025625125194681e-01,4.165694778554249189e-01,1.000000000000000056e-01,1.000000000000000056e-01
-1.349702562512519632e+00,8.165694778554248856e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.319702562512519606e+00,5.665694778554248856e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.489702562512519535e+00,7.265694778554249167e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.179702562512519481e+00,6.565694778554249655e-01,1.000000000000000056e-01,1.000000000000000056e-01
-1.149702562512519455e+00,3.165694778554249411e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.649702562512519677e+00,3.765694778554249389e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.099702562512519410e+00,4.365694778554249367e-01,1.000000000000000056e-01,1.000000000000000056e-01
-1.289702562512519579e+00,5.265694778554249611e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.239702562512519535e+00,5.765694778554248945e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.899702562512519677e+00,4.165694778554249189e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.879702562512519659e+00,9.365694778554248812e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.509702562512519552e+00,4.965694778554249345e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.749702562512519766e+00,1.086569477855425125e+00,1.000000000000000056e-01,1.000000000000000056e-01
-3.409702562512519464e+00,4.165694778554249189e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.669702562512519695e+00,4.365694778554249367e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.099702562512519410e+00,2.465694778554249622e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.449702562512519499e+00,4.765694778554249167e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.389702562512519446e+00,4.665694778554249078e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.239702562512519535e+00,3.865694778554249478e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.899702562512519677e+00,8.965694778554249567e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.799702562512519588e+00,7.665694778554249522e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.859702562512519641e+00,4.765694778554249167e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.989702562512519535e+00,4.765694778554249167e-01,1.000000000000000056e-01,1.000000000000000056e-01
-3.259702562512519552e+00,3.465694778554249122e-01,1.000000000000000056e-01,1.000000000000000056e-01
-2.589702562512519624e+00,1.006569477855425054e+00,1.000000000000000056e-01,1.000000000000000056e-01
-2.489702562512519535e+00,7.665694778554249522e-01,1.000000000000000056e-01,1.000000000000000056e-01
